seq,folio,filename
1,001r,CF-014
2,001v,CF-522
3,002r,CF-005
4,002v,CF-528
5,003r,CF-010
6,003v,CF-527
7,004r,CF-009
8,004v,CF-526
9,005r,CF-011
10,005v,CF-525
11,006r,CF-012
12,006v,CF-524
13,007r,CF-013
14,007v,CF-523
15,008r,CF-015
16,008v,CF-517
17,009r,CF-016
18,009v,CF-516
19,010r,CF-017
20,010v,CF-515
21,011r,CF-018
22,011v,CF-514
23,012r,CF-019
24,012v,CF-513
25,013r,CF-020
26,013v,CF-512
27,014r,CF-024
28,014v,CF-511
29,015r,CF-025
30,015v,CF-510
31,016r,CF-026
32,016v,CF-509
33,017r,CF-027
34,017v,CF-508
35,018r,CF-028
36,018v,CF-507
37,019r,CF-029
38,019v,CF-506
39,020r,CF-030
40,020v,CF-505
41,021r,CF-031
42,021v,CF-504
43,022r,CF-032
44,022v,CF-503
45,023r,CF-033
46,023v,CF-502
47,024r,CF-034
48,024v,CF-501
49,025r,CF-035
50,025v,CF-500
51,026r,CF-036
52,026v,CF-499
53,027r,CF-037
54,027v,CF-498
55,028r,CF-038
56,028v,CF-497
57,029r,CF-039
58,029v,CF-496
59,030r,CF-040
60,030v,CF-495
61,031r,CF-041
62,031v,CF-494
63,032r,CF-042
64,032v,CF-492
65,033r,CF-044
66,033v,CF-491
67,034r,CF-045
68,034v,CF-490
69,035r,CF-046
70,035v,CF-489
71,036r,CF-047
72,036v,CF-488
73,037r,CF-048
74,037v,CF-487
75,038r,CF-049
76,038v,CF-486
77,039r,CF-050
78,039v,CF-485
79,040r,CF-051
80,040v,CF-484
81,041r,CF-052
82,041v,CF-483
83,042r,CF-053
84,042v,CF-482
85,043r,CF-054
86,043v,CF-481
87,044r,CF-055
88,044v,CF-480
89,045r,CF-056
90,045v,CF-479
91,046r,CF-058
92,046v,CF-477
93,047r,CF-059
94,047v,CF-476
95,048r,CF-060
96,048v,CF-475
97,049r,CF-061
98,049v,CF-474
99,050r,CF-062
100,050v,CF-473
101,051r,CF-064
102,051v,CF-471
103,052r,CF-065
104,052v,CF-470
105,053r,CF-066
106,053v,CF-469
107,054r,CF-067
108,054v,CF-468
109,055r,CF-068
110,055v,CF-467
111,056r,CF-069
112,056v,CF-466
113,057r,CF-070
114,057v,CF-465
115,058r,CF-071
116,058v,CF-464
117,059r,CF-072
118,059v,CF-463
119,060r,CF-073
120,060v,CF-462
121,061r,CF-074
122,061v,CF-461
123,062r,CF-075
124,062v,CF-460
125,063r,CF-076
126,063v,CF-459
127,064r,CF-077
128,064v,CF-458
129,065r,CF-078
130,065v,CF-457
131,066r,CF-079
132,066v,CF-456
133,067r,CF-080
134,067v,CF-455
135,068r,CF-081
136,068v,CF-454
137,069r,CF-082
138,069v,CF-453
139,070r,CF-083
140,070v,CF-452
141,071r,CF-084
142,071v,CF-451
143,072r,CF-085
144,072v,CF-450
145,073r,CF-086
146,073v,CF-449
147,074r,CF-087
148,074v,CF-448
149,075r,CF-088
150,075v,CF-447
151,076r,CF-089
152,076v,CF-446
153,077r,CF-090
154,077v,CF-445
155,078r,CF-092
156,078v,CF-444
157,079r,CF-093
158,079v,CF-443
159,080r,CF-094
160,080v,CF-442
161,081r,CF-095
162,081v,CF-441
163,082r,CF-096
164,082v,CF-440
165,083r,CF-097
166,083v,CF-439
167,084r,CF-098
168,084v,CF-438
169,085r,CF-099
170,085v,CF-437
171,086r,CF-100
172,086v,CF-436
173,087r,CF-101
174,087v,CF-435
175,088r,CF-102
176,088v,CF-434
177,089r,CF-103
178,089v,CF-433
179,090r,CF-104
180,090v,CF-432
181,091r,CF-105
182,091v,CF-431
183,092r,CF-106
184,092v,CF-430
185,093r,CF-107
186,093v,CF-429
187,094r,CF-108
188,094v,CF-428
189,095r,CF-109
190,095v,CF-427
191,096r,CF-110
192,096v,CF-426
193,097r,CF-111
194,097v,CF-425
195,098r,CF-112
196,098v,CF-424
197,099r,CF-113
198,099v,CF-422
199,100r,CF-114
200,100v,CF-421
201,101r,CF-117
202,101v,CF-420
203,102r,CF-118
204,102v,CF-419
205,103r,CF-119
206,103v,CF-418
207,104r,CF-120
208,104v,CF-417
209,105r,CF-121
210,105v,CF-416
211,106r,CF-122
212,106v,CF-415
213,107r,CF-123
214,107v,CF-414
215,108r,CF-124
216,108v,CF-413
217,109r,CF-125
218,109v,CF-412
219,110r,CF-126
220,110v,CF-411
221,111r,CF-127
222,111v,CF-410
223,112r,CF-128
224,112v,CF-409
225,113r,CF-129
226,113v,CF-408
227,114r,CF-130
228,114v,CF-407
229,115r,CF-133
230,115v,CF-406
231,116r,CF-134
232,116v,CF-405
233,117r,CF-135
234,117v,CF-404
235,118r,CF-137
236,118v,CF-402
237,119r,CF-139
238,119v,CF-401
239,120r,CF-140
240,120v,CF-400
241,121r,CF-141
242,121v,CF-399
243,122r,CF-142
244,122v,CF-398
245,123r,CF-143
246,123v,CF-397
247,124r,CF-144
248,124v,CF-396
249,127r,CF-146
250,127v,CF-394
251,128r,CF-147
252,128v,CF-392
253,129r,CF-148
254,129v,CF-391
255,130r,CF-149
256,130v,CF-390
257,131r,CF-150
258,131v,CF-389
259,132r,CF-151
260,132v,CF-388
261,133r,CF-152
262,133v,CF-387
263,134r,CF-154
264,134v,CF-384
265,135r,CF-155
266,135v,CF-382
267,136r,CF-156
268,136v,CF-381
269,137r,CF-157
270,137v,CF-380
271,138r,CF-158
272,138v,CF-379
273,139r,CF-159
274,139v,CF-378
275,140r,CF-160
276,140v,CF-377
277,141r,CF-161
278,141v,CF-376
279,142r,CF-162
280,142v,CF-375
281,143r,CF-163
282,143v,CF-374
283,144r,CF-164
284,144v,CF-373
285,145r,CF-165
286,145v,CF-372
287,146r,CF-166
288,146v,CF-370
289,147r,CF-167
290,147v,CF-369
291,148r,CF-168
292,148v,CF-368
293,149r,CF-169
294,149v,CF-367
295,150r,CF-170
296,150v,CF-366
297,151r,CF-172
298,151v,CF-365
299,152r,CF-173
300,152v,CF-364
301,153r,CF-174
302,153v,CF-363
303,154r,CF-175
304,154v,CF-362
305,155r,CF-176
306,155v,CF-361
307,156r,CF-177
308,156v,CF-360
309,157r,CF-178
310,157v,CF-359
311,158r,CF-179
312,158v,CF-358
313,159r,CF-180
314,159v,CF-356
315,160r,CF-181
316,160v,CF-355
317,161r,CF-182
318,161v,CF-354
319,162r,CF-183
320,162v,CF-349
321,163r,CF-184
322,163v,CF-348
323,164r,CF-185
324,164v,CF-347
325,165r,CF-186
326,165v,CF-346
327,166r,CF-187
328,166v,CF-345
329,167r,CF-188
330,167v,CF-344
331,168r,CF-189
332,168v,CF-343
333,169r,CF-190
334,169v,CF-342
335,170r,CF-191
336,170v,CF-341
337,171r,CF-192
338,171v,CF-340
339,172r,CF-193
340,172v,CF-339
341,173r,CF-194
342,173v,CF-338
343,174r,CF-195
344,174v,CF-337
345,175r,CF-196
346,175v,CF-336
347,176r,CF-197
348,176v,CF-334
349,177r,CF-199
350,177v,CF-333
351,178r,CF-200
352,178v,CF-332
353,179r,CF-201
354,179v,CF-331
355,180r,CF-202
356,180v,CF-330
357,181r,CF-203
358,181v,CF-328
359,182r,CF-204
360,182v,CF-329
361,183r,CF-206
362,183v,CF-327
363,184r,CF-207
364,184v,CF-326
365,185r,CF-208
366,185v,CF-324
367,186r,CF-209
368,186v,CF-323
369,187r,CF-210
370,187v,CF-322
371,188r,CF-211
372,188v,CF-321
373,189r,CF-212
374,189v,CF-320
375,190r,CF-213
376,190v,CF-319
377,191r,CF-214
378,191v,CF-318
379,192r,CF-215
380,192v,CF-317
381,193r,CF-216
382,193v,CF-316
383,194r,CF-219
384,194v,CF-315
385,195r,CF-220
386,195v,CF-314
387,196r,CF-221
388,196v,CF-313
389,197r,CF-222
390,197v,CF-312
391,197w,CF-223
392,A01r,CF-224
393,A01v,CF-310
394,A02r,CF-225
395,A02v,CF-309
396,A03r,CF-226
397,A03v,CF-307
398,A04r,CF-227
399,A04v,CF-306
400,A05r,CF-228
401,A05v,CF-305
402,A06r,CF-229
403,A06v,CF-304
404,A07r,CF-230
405,A07v,CF-303
406,A08r,CF-231
407,A08v,CF-302
408,A09r,CF-232
409,A09v,CF-301
410,A10r,CF-233
411,A10v,CF-300
412,A11r,CF-234
413,A11v,CF-299
414,A12r,CF-235
415,A12v,CF-298
416,A13r,CF-236
417,A13v,CF-297
418,A14r,CF-237
419,A17r,CF-240
420,A17v,CF-293
421,A18r,CF-241
422,A18v,CF-292
423,A19r,CF-242
424,A19v,CF-291
425,A20r,CF-243
426,A20v,CF-290
427,A21r,CF-244
428,A21v,CF-289
429,A22r,CF-245
430,A22v,CF-288
431,A23r,CF-246
432,A23v,CF-287
433,A24r,CF-247
434,A24v,CF-286
435,A25r,CF-248
436,A25v,CF-285
437,A26r,CF-249
438,A26v,CF-284
439,A27r,CF-250
440,A27v,CF-283
441,A28r,CF-251
442,A28v,CF-282
443,A29r,CF-252
444,A29v,CF-281
445,A30r,CF-253
446,A30v,CF-280
447,A31r,CF-254
448,A31v,CF-279
449,A33r,CF-255
450,A33v,CF-278
451,A34r,CF-257
452,A34v,CF-277
453,A35r,CF-258
454,A35v,CF-276
455,A36r,CF-260
456,A36v,CF-275
457,A37r,CF-261
458,A37v,CF-274
459,A38r,CF-262
460,A38v,CF-273
461,A39r,CF-263
462,A39v,CF-272
463,A40r,CF-264
464,A40v,CF-271
